iter	RMSE
0	7794.653835
1	7777.725195
2	7762.013032
3	7749.943515
4	7735.937545
5	7721.474851
6	7708.629371
7	7691.499884
8	7673.773827
9	7658.486219
10	7647.249844
11	7631.488451
12	7620.996095
13	7603.376944
14	7596.011885
15	7583.301983
16	7569.17306
17	7559.301475
18	7550.210711
19	7528.812922
20	7517.176237
21	7506.667982
22	7497.918062
23	7480.773772
24	7465.902637
25	7455.646327
26	7439.682364
27	7434.385022
28	7430.148444
29	7416.944193
30	7405.94246
31	7394.854903
32	7387.425824
33	7376.458321
34	7363.714173
35	7360.312804
36	7345.511195
37	7330.300983
38	7314.27992
39	7309.434727
40	7303.45079
41	7293.790126
42	7285.384286
43	7279.771218
44	7271.518505
45	7262.975704
46	7252.306409
47	7245.890601
48	7232.767587
49	7228.121816
50	7217.799012
51	7208.237715
52	7201.239032
53	7185.272202
54	7179.512268
55	7160.476836
56	7156.641794
57	7150.051092
58	7144.47381
59	7138.578818
60	7129.172251
61	7118.603137
62	7112.759835
63	7106.9438
64	7101.227172
65	7085.763835
66	7067.519702
67	7059.923004
68	7044.191377
69	7040.284218
70	7036.782859
71	7032.067276
72	7023.065339
73	7017.042459
74	7009.242136
75	6992.594611
76	6982.758695
77	6975.534987
78	6967.264642
79	6954.127725
80	6947.320468
81	6936.363397
82	6927.63793
83	6920.975732
84	6909.744832
85	6901.543467
86	6895.223395
87	6891.649412
88	6882.806773
89	6865.596569
90	6850.801811
91	6836.095953
92	6828.301378
93	6824.236788
94	6813.22504
95	6806.539258
96	6801.108735
97	6784.153069
98	6776.045778
99	6758.390253
100	6748.254787
101	6743.705311
102	6733.140874
103	6720.279521
104	6708.238462
105	6703.803789
106	6695.923717
107	6690.602549
108	6680.365986
109	6673.719107
110	6664.281044
111	6657.980562
112	6654.49221
113	6637.620885
114	6628.378972
115	6620.323732
116	6605.539585
117	6600.953605
118	6592.789344
119	6589.856028
120	6585.784911
121	6580.785308
122	6574.567427
123	6560.512993
124	6552.396626
125	6543.789506
126	6540.811907
127	6536.406717
128	6521.944633
129	6511.412324
130	6500.002065
131	6493.666361
132	6484.542716
133	6474.695033
134	6468.749707
135	6460.160163
136	6453.662831
137	6446.505434
138	6428.04322
139	6421.101857
140	6409.992582
141	6400.772755
142	6391.871418
143	6389.562203
144	6385.900957
145	6380.37547
146	6378.582908
147	6376.275692
148	6373.190102
149	6369.557468
150	6365.033767
151	6355.563541
152	6352.518426
153	6346.6729
154	6334.855711
155	6326.887287
156	6316.906255
157	6306.997504
158	6302.34117
159	6296.309978
160	6292.318068
161	6290.011945
162	6287.518021
163	6283.613333
164	6279.846472
165	6275.438973
166	6270.044763
167	6268.966748
168	6257.51382
169	6254.165283
170	6250.021382
171	6243.446535
172	6231.5905
173	6228.34676
174	6225.598987
175	6224.831084
176	6216.984276
177	6211.359583
178	6210.040144
179	6205.384956
180	6202.634513
181	6198.183962
182	6191.129174
183	6189.900579
184	6185.525193
185	6177.792592
186	6172.973443
187	6167.025993
188	6161.281307
189	6157.382626
190	6151.20322
191	6143.347565
192	6138.854022
193	6133.821859
194	6127.131082
195	6123.653359
196	6122.455651
197	6120.741212
198	6118.197216
199	6109.176686
200	6099.624736
201	6091.41862
202	6087.165436
203	6084.325078
204	6082.845231
205	6071.783639
206	6065.104859
207	6057.999795
208	6052.800087
209	6048.010782
210	6041.584329
211	6039.545445
212	6032.43941
213	6026.476068
214	6019.241252
215	6015.859133
216	6010.363198
217	6004.456254
218	5999.068871
219	5994.093839
220	5982.440977
221	5971.422898
222	5965.227715
223	5959.953953
224	5953.341315
225	5949.485006
226	5943.531251
227	5938.42996
228	5935.300122
229	5930.074904
230	5928.442381
231	5922.762908
232	5918.546357
233	5913.083619
234	5909.682477
235	5901.641167
236	5900.471632
